en|Masal County, Gilan Province, Iran. At the 2006 census, its population was 142, in 33
en|The Kyrenia Ship is the wreck of a 4th-century BC ancient Greek merchant ship. It
en|was discovered by Greek-Cypriot diving instructor Andreas Cariolou in November 1965 during a storm. Having
en|lost the exact position, Cariolou carried out more than 200 dives until he re-discovered the
en|wreck in 1967 close to Kyrenia in Cyprus. Michael Katzev, a graduate student at the
en|University of Pennsylvania Museum of Archaeology and Anthropology, directed a scientific excavation from 1967–69. Preservation
en|of the ship's timbers continued during the winter of 1970. Katzev later was a co-founder
en|of the Institute of Nautical Archaeology. The find was extensively covered in a documentary by
en|the Cyprus Broadcasting Corporation titled "With Captain, Sailors Three: The Ancient Ship of Kyrenia"]. The
en|ship itself was very well preserved with approximately 75% of its hull in good condition.
en|It found a new home at the Ancient Shipwreck Museum in Kyrenia Castle, where it
en|Rhode Island Public Radio, doing business as The Public's Radio, is the NPR member radio
en|network for the state of Rhode Island and southeastern Massachusetts. Its studios are in the
en|historic Union Station in downtown Providence. The network airs a format of news and talk
en|from NPR, APM, PRX and other sources, such as Morning Edition, On Point, KERA's Think
en|Versailles Lake is one of a maze of lakes in northwestern Saskatchewan. It is bordered
en|by many lakes, including Minuhik Lake. It has several deep holes. The deepest recorded depth
en|The Horsehead Amphora is a specific type of amphora, produced in Athens from about 600
en|BC onwards. They are vessels with a very pronounced belly, decorated with black figure horseheads
en|on both sides. In a single case, one side depicts a woman's head. In contrast
en|to earlier belly amphorae, the painters did not apply a separate frieze on the neck.
en|The decoration was painted within reserved rectangular panels; the remaining vase of the body was
en|painted black. More than 100 such amphorae are known; they were painted by a variety
en|Area of Dhaka, Bangladesh. The university was established by the Private University Act of 1992.
en|Its curriculum has been approved by the University Grant Commission of the Government of the
en|Einsteinium triiodide is an iodide of the synthetic actinide einsteinium which has the molecular formula
en|EsI3. This crystalline salt is an amber-coloured solid. It glows red in the dark due
en|Bachatón is a fusion genre of reggaeton from Puerto Rico and bachata from the Dominican
en|Republic. Bachaton combines bachata melodies and reggaeton style beats, lyrics, rapping, and disc jockeying. The
en|word "bachatón" is a combination of "bachata" and "reggaeton". "Bachatón" was coined and widely accepted
en|The Motorola i1 is an Internet-enabled smartphone by Motorola, running the Android operating system designed
en|by Google. It was the first Android smartphone for iDEN-based networks, which use older 2G
en|technology rather than modern CDMA and GSM networks, and only support data rates up to
en|19.2 kbps. The Motorola i1 also uses Wi-Fi to access the Internet at higher speeds.
en|The Belgium national futsal team is the national futsal team of Belgium and is controlled
